ID_Alumno,Universidad,Carrera,Edad,Genero,Anio_Cursada,Horas_Estudio_Semanal,Asistencia_Porcentaje,Trabaja,Promedio_Academico,Materias_Aprobadas,Materias_Recursadas,Satisfaccion_Carrera,Indice_Permanencia
46,UNLP,Ciencia De Datos,23,Otro,5,18,73.3,No,9.9,27,3,7.9,100.0
48,UTN,Derecho,24,M,6,23,85.4,No,10.0,38,0,7.9,100.0
49,UNSAM,Medicina,20,F,2,10,87.2,No,9.3,13,2,7.1,100.0
50,UNSAM,Ciencia De Datos,27,F,2,15,68.5,No,10.0,14,0,8.9,100.0
51,UNSAM,Ciencia De Datos,18,Otro,3,14,73.8,No,6.8,15,2,4.8,100.0
52,UTN,Economía,25,F,5,11,78.1,Si,9.4,18,0,8.9,100.0
53,UNSAM,Ingeniería,29,M,3,9,68.1,No,5.5,19,1,4.5,84.7
54,UBA,Derecho,20,Otro,3,15,72.3,No,9.2,14,0,7.3,100.0
55,UBA,Ingeniería,22,M,4,28,71.1,No,10.0,23,0,9.4,100.0
57,UNC,Ciencia De Datos,24,Otro,5,11,80.7,Si,9.0,24,0,7.6,100.0
58,UNLaM,Medicina,18,F,5,19,100.0,Si,10.0,33,1,8.4,100.0
60,UTN,Derecho,24,F,5,20,94.8,Si,8.3,26,2,5.6,100.0
61,UNLaM,Psicología,21,F,5,13,66.2,Si,7.6,32,2,7.0,95.6
62,UNSAM,Ingeniería,28,Otro,4,13,87.0,Si,7.7,29,0,7.4,100.0
63,UBA,Ingeniería,20,Otro,4,15,75.8,No,7.5,25,0,7.5,100.0
64,UNLaM,Economía,26,F,1,6,76.4,Si,8.9,5,0,8.4,100.0
66,UNC,Derecho,19,Otro,1,12,97.1,Si,8.9,2,0,7.3,100.0
67,UBA,Medicina,28,F,2,9,96.5,No,9.3,10,5,5.6,100.0
68,UNLP,Psicología,26,F,1,7,79.1,Si,6.5,10,0,6.5,100.0
69,UBA,Derecho,21,Otro,6,30,89.5,No,10.0,28,0,7.9,100.0
70,UBA,Ingeniería,22,Otro,5,17,78.0,No,7.5,30,5,4.8,94.8
71,UNLaM,Psicología,21,M,1,10,88.6,Si,8.5,4,5,4.2,100.0
72,UTN,Economía,24,M,4,17,66.6,No,8.4,24,0,7.1,100.0
73,UNLaM,Derecho,26,Otro,2,8,90.0,Si,9.2,12,0,7.6,100.0
74,UTN,Economía,21,F,1,2,100.0,Si,6.8,7,0,6.1,100.0
75,UNC,Ciencia De Datos,26,F,4,16,81.6,No,9.1,16,1,6.6,100.0
77,UNLaM,Ciencia De Datos,26,F,1,6,97.8,Si,9.3,0,2,7.1,100.0
78,UTN,Derecho,21,Otro,2,12,90.7,Si,7.0,4,1,5.7,100.0
79,UTN,Ingeniería,17,F,3,14,83.4,No,8.3,17,1,7.6,100.0
80,UNLP,Medicina,20,Otro,2,4,67.4,Si,7.7,3,1,7.6,100.0
81,UTN,Ingeniería,24,F,3,7,76.4,Si,7.9,20,4,5.6,100.0
82,UNSAM,Ciencia De Datos,17,F,3,18,74.5,Si,7.8,25,4,6.0,97.8
83,UNLP,Medicina,28,F,2,9,72.6,No,7.6,10,2,5.4,100.0
84,UBA,Psicología,27,M,2,12,63.3,Si,9.5,13,4,6.6,100.0
85,UTN,Economía,19,M,5,25,79.9,No,9.2,31,1,8.5,100.0
86,UNSAM,Derecho,19,M,4,27,74.4,Si,10.0,23,1,8.0,100.0
88,UBA,Ingeniería,19,F,2,15,84.5,No,10.0,10,0,8.4,100.0
89,UBA,Medicina,35,Otro,2,9,82.9,No,7.8,15,1,6.0,99.2
90,UBA,Ingeniería,22,Otro,2,15,85.4,No,10.0,12,1,8.9,100.0
91,UTN,Ingeniería,22,M,5,33,72.1,No,10.0,32,3,6.4,100.0
92,UTN,Ingeniería,23,M,2,20,96.6,No,8.5,6,0,7.2,100.0
93,UBA,Ciencia De Datos,25,Otro,5,20,100.0,Si,10.0,33,0,9.3,100.0
94,UNC,Economía,17,Otro,1,7,75.3,Si,6.3,2,2,6.1,100.0
95,UNC,Psicología,28,Otro,2,7,81.4,No,7.6,5,2,7.0,100.0
96,UNSAM,Ingeniería,22,M,1,10,94.8,Si,9.9,7,0,7.8,100.0
97,UBA,Economía,19,M,6,27,82.1,No,9.1,36,0,7.3,100.0
99,UNSAM,Derecho,21,F,1,11,80.8,No,9.3,8,4,5.5,100.0
100,UBA,Ciencia De Datos,31,F,3,16,90.5,No,7.2,17,6,3.4,100.0
101,UNSAM,Ciencia De Datos,26,M,6,20,80.1,No,10.0,30,0,8.2,100.0
102,UNLP,Medicina,29,Otro,3,20,91.2,No,10.0,24,0,9.4,100.0
103,UNSAM,Economía,19,M,4,17,65.1,No,7.1,19,0,6.1,82.9
104,UNC,Ingeniería,30,Otro,6,22,82.4,No,9.7,42,3,6.0,100.0
106,UNSAM,Medicina,19,M,3,19,82.0,Si,8.3,18,4,5.6,100.0
107,UNLaM,Ingeniería,35,M,6,21,92.6,No,10.0,35,2,7.5,100.0
108,UNLP,Medicina,24,M,4,20,95.4,Si,9.8,24,0,7.7,100.0
110,UNC,Derecho,21,F,3,14,84.2,No,10.0,21,1,7.8,100.0
111,UNLP,Economía,30,F,6,31,77.3,No,10.0,37,2,7.9,100.0
112,UNLaM,Ciencia De Datos,25,Otro,4,17,99.8,Si,10.0,22,1,8.5,100.0
113,UTN,Psicología,24,M,4,21,58.1,Si,10.0,20,1,7.3,100.0
114,UBA,Medicina,25,F,1,10,99.5,Si,8.8,0,1,7.1,100.0
115,UNC,Derecho,20,F,5,21,62.6,Si,7.8,32,4,4.8,93.6
117,UNC,Ingeniería,20,M,6,22,68.9,No,9.2,36,0,8.9,100.0
119,UTN,Medicina,30,Otro,5,18,91.4,No,8.0,22,2,5.6,100.0
120,UNSAM,Derecho,28,Otro,5,16,64.0,No,9.4,32,3,7.3,100.0
121,UNSAM,Ciencia De Datos,24,Otro,6,14,93.2,Si,8.2,33,0,6.5,100.0
122,UNLaM,Medicina,25,M,6,18,73.0,Si,10.0,37,0,8.9,100.0
123,UBA,Medicina,22,M,4,18,90.4,No,7.8,16,3,4.7,100.0
124,UNLaM,Derecho,34,F,4,19,80.9,No,8.8,25,0,8.2,100.0
125,UNLP,Economía,27,F,2,15,70.3,Si,7.2,7,3,5.0,86.1
126,UTN,Psicología,27,F,6,22,87.6,Si,9.3,32,1,7.1,100.0
127,UNLP,Ingeniería,22,M,5,21,69.1,No,9.5,31,0,7.5,100.0
128,UNLP,Ciencia De Datos,21,Otro,2,10,95.0,No,9.6,11,0,7.7,100.0
129,UNLaM,Economía,27,Otro,5,11,77.5,Si,9.7,31,4,6.0,100.0
130,UNLP,Psicología,21,M,6,23,88.3,No,10.0,32,3,6.4,100.0
131,UNLaM,Derecho,24,M,5,20,75.2,No,9.0,31,2,6.8,100.0
132,UTN,Economía,24,Otro,5,21,62.8,Si,8.4,31,2,6.4,100.0
133,UTN,Ciencia De Datos,22,Otro,4,16,78.5,No,10.0,26,0,8.2,100.0
134,UNLaM,Derecho,18,Otro,2,14,88.7,No,7.7,11,2,5.6,100.0
135,UTN,Ingeniería,20,F,5,20,81.9,No,7.7,29,1,5.7,100.0
136,UNLaM,Ciencia De Datos,31,F,6,21,88.8,Si,10.0,39,2,8.1,100.0
137,UNLaM,Ciencia De Datos,26,Otro,4,11,89.0,Si,8.1,19,2,7.3,100.0
138,UNLaM,Derecho,32,Otro,1,7,83.3,Si,8.0,4,4,5.0,100.0
139,UNSAM,Psicología,24,F,4,15,61.5,No,9.3,18,3,7.3,97.3
140,UNC,Economía,23,M,4,14,85.2,Si,7.6,30,0,6.8,100.0
141,UNC,Economía,20,M,5,16,86.0,Si,8.4,33,3,5.1,99.4
142,UTN,Economía,17,F,4,13,72.6,Si,6.0,19,4,4.8,88.8
143,UNC,Ciencia De Datos,25,Otro,5,22,74.8,No,9.2,27,2,7.1,100.0
144,UNC,Ciencia De Datos,24,M,1,13,73.8,No,9.1,3,2,7.9,100.0
145,UNLP,Ingeniería,23,F,5,20,82.3,No,9.1,28,3,6.3,100.0
146,UNLaM,Ingeniería,28,M,5,25,90.9,No,10.0,21,1,8.3,100.0
147,UNSAM,Medicina,25,Otro,3,22,78.6,No,9.2,15,0,7.6,100.0
148,UNC,Psicología,17,F,3,12,79.5,Si,9.4,21,3,7.5,100.0
150,UNC,Medicina,36,Otro,6,22,87.0,Si,10.0,40,1,7.6,100.0
151,UNLP,Economía,19,F,6,18,98.1,Si,10.0,31,4,6.6,100.0
152,UNC,Psicología,25,F,6,22,91.9,Si,8.1,33,3,5.5,98.9
154,UBA,Medicina,17,F,2,22,60.4,No,9.7,16,5,6.4,97.7
155,UNC,Derecho,28,F,1,17,79.1,No,10.0,6,1,8.8,100.0
156,UNSAM,Ciencia De Datos,24,F,5,120,77.7,Si,8.7,29,2,5.9,100.0
157,UNSAM,Medicina,19,M,5,20,92.0,No,7.8,32,1,6.6,100.0
158,UNLP,Ingeniería,28,Otro,3,5,75.7,Si,8.6,17,1,7.5,100.0
159,UNLaM,Psicología,25,F,2,13,64.7,No,6.1,9,1,4.7,71.2
160,UNLP,Derecho,32,F,6,18,84.3,Si,10.0,33,0,9.3,100.0
161,UNC,Ciencia De Datos,23,F,5,15,62.5,Si,9.1,32,0,8.8,100.0
162,UNLP,Psicología,21,M,4,8,95.8,Si,7.2,22,4,4.1,96.7
163,UNLP,Ciencia De Datos,19,Otro,3,16,77.8,No,9.7,17,2,6.6,100.0
165,UNLP,Medicina,19,Otro,3,16,80.6,No,6.8,23,1,6.0,100.0
166,UTN,Ingeniería,19,Otro,4,19,100.0,No,8.2,21,1,6.0,100.0
167,UNC,Ciencia De Datos,27,F,3,15,78.7,No,7.1,16,1,6.9,100.0
168,UNLP,Ciencia De Datos,25,M,4,15,100.0,No,10.0,28,0,9.1,100.0
169,UTN,Economía,22,F,5,23,91.0,No,8.8,33,3,5.4,100.0
171,UNC,Ciencia De Datos,20,M,2,14,74.6,Si,9.9,8,2,7.6,100.0
173,UBA,Medicina,25,F,1,11,67.1,Si,9.1,1,2,6.2,98.7
174,UNSAM,Ciencia De Datos,22,M,3,10,92.3,Si,7.4,15,2,6.8,100.0
175,UNLP,Medicina,29,M,4,15,95.9,No,7.5,12,4,5.4,100.0
176,UNLaM,Ciencia De Datos,40,F,3,12,98.3,Si,7.8,17,3,5.0,100.0
177,UNLaM,Ciencia De Datos,25,M,1,7,98.4,Si,5.9,6,0,5.8,87.3
178,UTN,Psicología,19,M,4,20,85.1,No,8.0,27,1,7.2,98.4
180,UNLaM,Derecho,25,F,2,10,71.9,Si,8.4,9,2,6.8,100.0
181,UNSAM,Derecho,28,M,1,9,85.9,Si,9.4,0,2,7.2,100.0
182,UNLaM,Economía,26,F,5,21,87.2,Si,8.2,35,0,8.3,100.0
183,UNC,Psicología,26,Otro,6,18,85.1,Si,9.6,36,2,6.9,100.0
184,UNC,Medicina,23,F,1,18,100.0,No,9.8,3,6,5.8,100.0
185,UNC,Medicina,26,Otro,6,26,87.6,No,9.2,36,0,8.9,100.0
186,UNLP,Ciencia De Datos,21,F,4,13,98.3,Si,7.2,19,4,5.8,100.0
187,UBA,Medicina,30,Otro,3,11,91.4,Si,9.0,16,4,7.0,100.0
188,UNC,Ciencia De Datos,28,F,5,14,79.9,No,8.6,29,2,6.8,100.0
189,UNLP,Derecho,17,Otro,1,21,81.4,Si,9.3,6,0,7.6,100.0
190,UNLaM,Psicología,17,F,1,12,69.2,No,7.3,7,1,7.1,100.0
191,UNSAM,Derecho,32,M,3,15,93.0,No,7.0,18,3,6.0,100.0
192,UNLP,Ciencia De Datos,20,Otro,2,12,84.7,No,6.6,6,4,3.9,88.7
193,UNLaM,Ciencia De Datos,19,F,2,8,100.0,Si,7.4,7,0,7.8,100.0
194,UNSAM,Derecho,22,M,6,22,77.3,No,9.9,33,4,6.6,100.0
195,UNC,Psicología,30,Otro,2,12,84.2,No,7.8,14,2,5.6,96.8
196,UNSAM,Derecho,21,Otro,5,26,67.6,No,10.0,27,0,9.5,100.0
197,UBA,Economía,23,Otro,5,20,85.7,Si,7.9,33,4,4.7,100.0
199,UNLP,Ciencia De Datos,20,M,4,15,96.9,No,9.0,30,0,8.5,100.0
200,UNLaM,Psicología,26,F,3,14,81.8,Si,8.5,17,0,7.4,100.0
201,UNC,Ingeniería,20,M,3,6,83.3,Si,8.2,11,4,5.8,100.0
202,UNLP,Psicología,20,Otro,6,22,80.7,No,8.1,32,0,7.4,100.0
203,UBA,Derecho,20,M,1,6,80.4,Si,6.7,9,5,3.2,87.7
204,UNLaM,Ingeniería,22,F,3,5,80.0,Si,7.4,23,3,4.6,100.0
205,UNSAM,Ciencia De Datos,17,M,4,16,100.0,No,10.0,26,4,6.0,100.0
206,UNC,Economía,23,F,3,15,100.0,No,10.0,19,2,7.4,100.0
207,UNLP,Psicología,17,M,5,25,84.4,No,9.2,31,5,5.9,100.0
208,UNLaM,Derecho,29,F,3,7,87.9,Si,7.7,19,3,6.5,99.1
209,UNC,Psicología,30,M,5,17,100.0,No,9.1,32,0,8.5,100.0
210,UNLaM,Derecho,25,Otro,5,14,85.6,Si,8.2,31,2,6.5,100.0
213,UBA,Ciencia De Datos,25,M,5,26,87.9,Si,10.0,31,2,7.7,100.0
214,UNLP,Ciencia De Datos,24,Otro,3,11,81.4,No,7.1,20,0,7.6,100.0
215,UNLaM,Derecho,27,M,5,15,85.6,Si,7.5,39,6,3.9,100.0
216,UNC,Derecho,23,M,4,16,74.2,No,8.8,23,2,7.0,100.0
217,UTN,Ingeniería,24,M,2,15,72.1,Si,8.0,9,6,5.1,100.0
218,UBA,Medicina,19,Otro,5,17,88.7,Si,8.1,34,0,7.7,100.0
219,UTN,Derecho,19,F,4,19,91.8,Si,7.8,24,4,5.4,100.0
220,UNLP,Ciencia De Datos,28,Otro,2,17,100.0,Si,9.5,12,2,6.9,100.0
221,UNSAM,Economía,17,Otro,3,15,91.8,No,8.2,7,4,6.1,100.0
222,UTN,Derecho,21,Otro,2,7,80.9,Si,6.6,15,3,4.5,84.2
223,UBA,Economía,25,F,5,24,79.1,No,10.0,28,5,7.1,100.0
224,UNSAM,Ciencia De Datos,17,F,4,16,74.9,No,9.6,23,0,9.1,100.0
226,UNLP,Economía,35,Otro,2,14,77.2,No,9.4,17,0,9.2,100.0
227,UNSAM,Medicina,17,M,6,21,100.0,Si,10.0,33,4,6.7,100.0
228,UNC,Ingeniería,30,F,2,20,93.0,Si,8.2,11,2,5.8,100.0
230,UNSAM,Derecho,17,M,5,18,84.4,Si,9.7,29,3,6.5,100.0
231,UNLaM,Economía,28,M,6,19,88.3,Si,10.0,41,0,8.0,100.0
232,UNLP,Psicología,20,F,6,17,80.0,No,7.0,40,0,7.1,94.2
233,UBA,Economía,26,Otro,4,20,77.7,No,7.9,28,3,5.5,98.3
234,UTN,Economía,17,M,5,19,93.3,Si,10.0,24,2,8.6,100.0
235,UNLP,Medicina,17,Otro,5,26,72.9,No,10.0,37,1,8.9,100.0
236,UNLaM,Ingeniería,23,Otro,3,15,76.3,Si,8.1,10,0,7.6,100.0
237,UNC,Ciencia De Datos,19,Otro,4,16,75.8,No,10.0,24,2,7.6,100.0
238,UBA,Medicina,18,F,4,21,81.6,No,10.0,26,0,7.9,100.0
239,UNC,Ingeniería,17,M,2,17,100.0,No,10.0,13,5,7.2,100.0
240,UTN,Medicina,19,F,6,25,78.4,Si,10.0,35,1,8.0,100.0
241,UNC,Ciencia De Datos,21,Otro,6,23,67.2,Si,9.4,35,4,6.2,100.0
242,UNLaM,Derecho,28,F,5,23,93.5,No,10.0,20,2,8.6,100.0
243,UNLP,Economía,29,M,4,16,82.4,Si,9.2,24,2,6.6,100.0
244,UNLP,Psicología,25,Otro,6,18,75.0,No,9.1,35,2,6.8,100.0
246,UNC,Ingeniería,27,Otro,6,22,79.9,No,8.7,41,0,7.0,100.0
247,UNSAM,Medicina,29,F,1,16,80.5,No,8.9,3,0,7.9,100.0
248,UTN,Derecho,34,F,3,14,87.0,Si,10.0,19,4,6.3,100.0
249,UNSAM,Medicina,24,F,5,19,91.7,No,10.0,33,2,7.3,100.0
250,UNC,Ingeniería,24,F,5,18,83.0,No,10.0,23,3,6.8,100.0
251,UBA,Economía,26,Otro,1,11,86.2,No,8.5,4,1,7.2,100.0
252,UNSAM,Ingeniería,23,M,3,21,64.2,No,9.8,12,0,9.3,100.0
253,UNSAM,Psicología,24,Otro,1,14,82.4,No,10.0,7,0,7.9,100.0
255,UNC,Medicina,33,Otro,5,15,76.7,Si,6.6,36,1,5.1,100.0
256,UNC,Ingeniería,23,F,1,5,89.0,No,7.9,0,2,6.4,100.0
257,UBA,Derecho,19,M,2,14,61.1,Si,8.5,14,4,5.4,91.4
258,UNSAM,Ciencia De Datos,23,Otro,6,21,79.9,No,9.7,30,1,7.0,100.0
259,UTN,Economía,17,M,2,7,79.0,Si,8.4,10,2,7.1,100.0
260,UBA,Ingeniería,24,Otro,5,21,58.3,No,9.9,26,4,6.5,100.0
261,UTN,Ingeniería,26,M,3,11,96.3,No,6.7,22,4,4.8,100.0
262,UTN,Derecho,22,M,6,22,69.5,No,10.0,33,1,9.1,100.0
263,UNC,Economía,17,M,4,14,78.9,Si,9.9,25,1,8.0,100.0
264,UNLP,Medicina,25,M,2,17,75.3,Si,8.2,10,3,6.0,100.0
265,UNLP,Economía,22,Otro,2,12,87.3,No,6.8,3,1,6.3,97.1
266,UNC,Ingeniería,32,M,6,20,75.9,Si,9.2,31,4,5.2,100.0
267,UBA,Ingeniería,30,F,5,21,85.0,No,10.0,28,0,9.0,100.0
268,UNSAM,Ciencia De Datos,27,M,5,15,81.7,No,10.0,31,1,8.4,100.0
269,UNLaM,Ingeniería,18,Otro,3,11,68.1,Si,8.1,17,2,6.9,96.3
270,UBA,Economía,21,M,4,18,79.9,No,9.4,28,3,6.8,100.0
271,UNSAM,Derecho,22,F,4,17,72.8,No,8.3,21,2,6.0,100.0
272,UNLaM,Ingeniería,24,Otro,5,20,88.7,No,10.0,37,0,9.2,100.0
273,UNSAM,Ciencia De Datos,27,F,6,17,100.0,No,8.5,36,1,6.9,100.0
274,UTN,Psicología,25,Otro,2,13,100.0,No,9.2,13,2,6.4,100.0
275,UTN,Derecho,17,M,2,17,79.8,Si,7.8,14,4,6.2,100.0
276,UBA,Ingeniería,22,F,5,12,75.6,Si,7.9,26,3,6.0,100.0
277,UNLP,Derecho,22,F,1,10,66.0,Si,9.2,6,2,7.2,100.0
278,UNC,Derecho,18,Otro,2,13,91.5,No,7.4,4,1,6.6,100.0
279,UTN,Ingeniería,26,Otro,4,26,81.5,No,10.0,22,2,8.5,100.0
280,UNLaM,Ingeniería,20,M,1,9,78.0,Si,8.2,0,2,6.4,100.0
281,UNSAM,Psicología,17,Otro,6,22,89.8,No,9.4,39,2,7.5,100.0
282,UNLaM,Ciencia De Datos,23,F,3,16,88.7,No,10.0,16,3,6.3,100.0
283,UNC,Derecho,30,Otro,2,20,98.8,No,8.4,18,2,6.0,100.0
284,UBA,Derecho,21,F,4,21,62.5,Si,10.0,22,1,8.1,100.0
285,UNLP,Psicología,25,Otro,4,16,75.5,Si,6.8,25,4,4.8,86.1
286,UNSAM,Ingeniería,35,F,4,14,88.1,No,8.7,23,3,5.5,100.0
287,UNLaM,Economía,21,Otro,2,11,62.8,Si,8.2,11,4,4.6,100.0
288,UTN,Psicología,20,F,2,17,91.1,Si,10.0,13,2,8.0,100.0
289,UNC,Ingeniería,18,Otro,3,12,92.2,No,9.8,15,1,7.6,100.0
290,UNC,Ciencia De Datos,22,M,1,16,91.0,No,7.6,8,2,5.1,100.0
291,UNLP,Derecho,20,M,5,19,98.1,No,8.5,29,4,6.2,100.0
292,UNC,Economía,32,Otro,4,14,79.6,Si,8.1,25,2,6.6,100.0
293,UNLaM,Derecho,23,Otro,2,2,100.0,Si,5.4,6,5,3.7,88.2
295,UNLaM,Derecho,29,M,4,22,99.6,No,10.0,27,2,7.3,100.0
296,UNC,Psicología,27,Otro,3,17,83.3,Si,8.4,14,4,5.4,100.0
297,UBA,Ciencia De Datos,34,F,6,17,96.6,No,9.6,37,0,9.1,100.0
298,UNLP,Economía,35,Otro,5,16,92.5,Si,8.2,34,1,6.1,100.0
300,UNLaM,Ciencia De Datos,23,M,2,14,86.3,Si,10.0,20,2,7.8,100.0
301,UNC,Psicología,33,M,1,2,89.1,Si,7.2,0,0,7.4,100.0
302,UNSAM,Medicina,21,M,4,10,80.2,Si,5.9,22,0,5.1,93.2
303,UNSAM,Medicina,29,Otro,2,9,71.3,Si,9.3,11,3,6.3,100.0
304,UNLP,Medicina,17,Otro,2,13,98.0,No,9.7,9,1,7.9,100.0
306,UNSAM,Medicina,33,F,4,11,64.6,Si,7.8,21,0,8.1,93.0
307,UTN,Derecho,20,M,3,13,73.9,Si,6.8,22,0,5.8,100.0
308,UNLP,Derecho,19,M,6,21,91.5,No,9.8,39,5,5.3,100.0
309,UNSAM,Psicología,21,Otro,3,24,73.5,Si,9.5,18,1,7.6,100.0
310,UNC,Medicina,17,Otro,6,17,71.1,No,8.2,36,1,7.8,100.0
311,UNSAM,Derecho,30,Otro,5,16,79.1,Si,10.0,28,3,8.1,100.0
312,UNSAM,Ingeniería,24,Otro,4,18,81.5,No,9.3,20,1,7.1,100.0
313,UNLaM,Medicina,32,F,2,9,81.3,No,9.5,11,1,7.3,100.0
314,UNSAM,Psicología,30,Otro,4,17,76.2,No,7.4,27,3,5.8,95.3
315,UTN,Psicología,25,Otro,6,27,90.7,No,9.1,40,3,6.4,100.0
316,UNSAM,Ingeniería,23,Otro,4,13,99.5,No,6.7,27,0,5.7,95.3
317,UTN,Derecho,25,Otro,6,12,69.7,Si,6.6,41,0,5.8,96.0
318,UNC,Psicología,32,F,5,18,85.0,No,10.0,38,0,9.4,100.0
319,UNLaM,Psicología,20,F,6,13,98.6,Si,7.8,42,2,7.0,100.0
320,UTN,Derecho,22,Otro,4,22,76.5,No,7.8,19,3,6.4,96.7
321,UNLP,Psicología,25,F,6,20,79.2,No,8.5,45,0,8.0,100.0
323,UNLP,Ciencia De Datos,19,F,6,18,76.2,Si,8.2,39,2,6.4,100.0
324,UTN,Ciencia De Datos,27,Otro,4,21,71.9,No,9.7,18,3,6.2,100.0
326,UNLaM,Economía,27,F,6,24,80.6,No,10.0,39,2,8.5,100.0
327,UBA,Ingeniería,18,M,6,21,81.3,Si,9.3,37,0,8.1,100.0
328,UNLP,Economía,22,M,6,22,92.0,No,10.0,41,2,8.7,100.0
329,UTN,Medicina,24,M,6,18,78.0,No,10.0,30,0,8.7,100.0
330,UNSAM,Medicina,19,Otro,6,20,72.2,No,8.0,40,0,7.8,100.0
331,UBA,Psicología,22,F,2,5,62.5,Si,7.9,15,4,5.0,99.6
332,UNLP,Economía,22,F,3,10,100.0,Si,10.0,14,0,9.4,100.0
333,UTN,Economía,20,F,3,18,73.2,Si,9.9,17,0,7.9,100.0
334,UNLaM,Ingeniería,17,M,6,10,84.8,Si,8.1,33,0,8.2,100.0
335,UNLaM,Ingeniería,21,M,6,20,63.3,Si,10.0,37,3,6.7,100.0
337,UNSAM,Derecho,29,M,5,20,66.3,Si,7.1,30,0,7.3,83.9
338,UNSAM,Derecho,38,Otro,4,18,100.0,Si,10.0,17,0,8.8,100.0
339,UNLP,Ingeniería,22,F,6,19,61.5,No,10.0,40,0,8.9,100.0
340,UNLaM,Ciencia De Datos,26,Otro,1,10,82.5,Si,6.4,2,3,5.4,100.0
342,UBA,Derecho,19,Otro,4,16,82.8,Si,10.0,26,4,7.5,100.0
343,UBA,Medicina,20,M,6,17,63.5,Si,9.6,40,6,5.1,98.6
345,UNC,Derecho,24,F,5,15,62.5,No,9.7,28,1,7.9,100.0
